# BROWSER FORENSIC EXPORT
# Source DB,C:\Users\cryfo\OneDrive\Documents\Desktop\Browser\Favicons
# DB Description,Website Favicons
# Table,favicon_bitmaps
# Table Description,Favicon bitmap data
# Total Rows in DB,840
# Export Timestamp,2026-04-02 09:55:54 UTC
# MD5 Hash of Source DB,e3c84f207494d7fa0eb9a69bade06c04

id,icon_id,last_updated,image_data,width,height,last_requested,last_updated__HUMAN,last_updated__FORMAT,last_requested__HUMAN,last_requested__FORMAT
75,38,13399621302412888,<BLOB 378 bytes: 89504e470d0a1a0a0000000d49484452000000100000001008060000001ff3ff...>,16,16,0,2025-08-14 05:01:42 UTC,WebKit (Chrome),,null
76,38,13399621302412953,<BLOB 657 bytes: 89504e470d0a1a0a0000000d4948445200000020000000200806000000737a7a...>,32,32,0,2025-08-14 05:01:42 UTC,WebKit (Chrome),,null
77,39,13399625152527975,<BLOB 733 bytes: 89504e470d0a1a0a0000000d49484452000000100000001008060000001ff3ff...>,16,16,0,2025-08-14 06:05:52 UTC,WebKit (Chrome),,null
78,39,13399625152528168,<BLOB 1472 bytes: 89504e470d0a1a0a0000000d4948445200000020000000200806000000737a7a...>,32,32,0,2025-08-14 06:05:52 UTC,WebKit (Chrome),,null
79,40,13399625196372671,<BLOB 407 bytes: 89504e470d0a1a0a0000000d4948445200000010000000100802000000909168...>,16,16,0,2025-08-14 06:06:36 UTC,WebKit (Chrome),,null
80,40,13399625196372740,<BLOB 628 bytes: 89504e470d0a1a0a0000000d4948445200000020000000200802000000fc18ed...>,32,32,0,2025-08-14 06:06:36 UTC,WebKit (Chrome),,null
81,41,13399625253587623,<BLOB 569 bytes: 89504e470d0a1a0a0000000d49484452000000100000001008060000001ff3ff...>,16,16,0,2025-08-14 06:07:33 UTC,WebKit (Chrome),,null
82,41,13399625253587733,<BLOB 1125 bytes: 89504e470d0a1a0a0000000d4948445200000020000000200806000000737a7a...>,32,32,0,2025-08-14 06:07:33 UTC,WebKit (Chrome),,null
83,42,13402881475966914,<BLOB 548 bytes: 89504e470d0a1a0a0000000d49484452000000100000001008060000001ff3ff...>,16,16,0,2025-09-20 22:37:55 UTC,WebKit (Chrome),,null
84,42,13402881475967024,<BLOB 1295 bytes: 89504e470d0a1a0a0000000d4948445200000020000000200806000000737a7a...>,32,32,0,2025-09-20 22:37:55 UTC,WebKit (Chrome),,null
85,43,13402431467644727,<BLOB 605 bytes: 89504e470d0a1a0a0000000d4948445200000010000000100802000000909168...>,16,16,0,2025-09-15 17:37:47 UTC,WebKit (Chrome),,null
86,43,13402431467644757,<BLOB 1007 bytes: 89504e470d0a1a0a0000000d4948445200000020000000200802000000fc18ed...>,32,32,0,2025-09-15 17:37:47 UTC,WebKit (Chrome),,null
87,44,13399627540288858,<BLOB 615 bytes: 89504e470d0a1a0a0000000d49484452000000100000001008060000001ff3ff...>,16,16,0,2025-08-14 06:45:40 UTC,WebKit (Chrome),,null
88,44,13399627540289007,<BLOB 1258 bytes: 89504e470d0a1a0a0000000d4948445200000020000000200806000000737a7a...>,32,32,0,2025-08-14 06:45:40 UTC,WebKit (Chrome),,null
89,45,13400323885245071,<BLOB 775 bytes: 89504e470d0a1a0a0000000d49484452000000100000001008060000001ff3ff...>,16,16,0,2025-08-22 08:11:25 UTC,WebKit (Chrome),,null
90,45,13400323885245407,<BLOB 2149 bytes: 89504e470d0a1a0a0000000d4948445200000020000000200806000000737a7a...>,32,32,0,2025-08-22 08:11:25 UTC,WebKit (Chrome),,null
91,46,13403204486388066,<BLOB 677 bytes: 89504e470d0a1a0a0000000d4948445200000010000000100802000000909168...>,16,16,0,2025-09-24 16:21:26 UTC,WebKit (Chrome),,null
92,46,13403204486388128,<BLOB 913 bytes: 89504e470d0a1a0a0000000d4948445200000020000000200802000000fc18ed...>,32,32,0,2025-09-24 16:21:26 UTC,WebKit (Chrome),,null
93,47,13400323911804222,<BLOB 574 bytes: 89504e470d0a1a0a0000000d49484452000000100000001008060000001ff3ff...>,16,16,0,2025-08-22 08:11:51 UTC,WebKit (Chrome),,null
94,47,13400323911804420,<BLOB 667 bytes: 89504e470d0a1a0a0000000d4948445200000020000000200806000000737a7a...>,32,32,0,2025-08-22 08:11:51 UTC,WebKit (Chrome),,null
95,48,0,<BLOB 783 bytes: 89504e470d0a1a0a0000000d49484452000000100000001008060000001ff3ff...>,16,16,0,,null,,null
96,48,0,<BLOB 1198 bytes: 89504e470d0a1a0a0000000d4948445200000020000000200806000000737a7a...>,32,32,0,,null,,null
97,49,13399649988599451,<BLOB 525 bytes: 89504e470d0a1a0a0000000d49484452000000100000001008060000001ff3ff...>,16,16,0,2025-08-14 12:59:48 UTC,WebKit (Chrome),,null
98,49,13399649988599512,<BLOB 1172 bytes: 89504e470d0a1a0a0000000d4948445200000020000000200806000000737a7a...>,32,32,0,2025-08-14 12:59:48 UTC,WebKit (Chrome),,null
99,50,13399650004304513,<BLOB 525 bytes: 89504e470d0a1a0a0000000d49484452000000100000001008060000001ff3ff...>,16,16,0,2025-08-14 13:00:04 UTC,WebKit (Chrome),,null
100,50,13399650004304641,<BLOB 1172 bytes: 89504e470d0a1a0a0000000d4948445200000020000000200806000000737a7a...>,32,32,0,2025-08-14 13:00:04 UTC,WebKit (Chrome),,null
101,51,13399650034845842,<BLOB 709 bytes: 89504e470d0a1a0a0000000d49484452000000100000001008060000001ff3ff...>,16,16,0,2025-08-14 13:00:34 UTC,WebKit (Chrome),,null
102,51,13399650034845918,<BLOB 1269 bytes: 89504e470d0a1a0a0000000d4948445200000020000000200806000000737a7a...>,32,32,0,2025-08-14 13:00:34 UTC,WebKit (Chrome),,null
103,52,13399656894537274,<BLOB 473 bytes: 89504e470d0a1a0a0000000d49484452000000100000001008060000001ff3ff...>,16,16,0,2025-08-14 14:54:54 UTC,WebKit (Chrome),,null
104,52,13399656894537384,<BLOB 815 bytes: 89504e470d0a1a0a0000000d4948445200000020000000200806000000737a7a...>,32,32,0,2025-08-14 14:54:54 UTC,WebKit (Chrome),,null
105,53,13399659429578929,<BLOB 546 bytes: 89504e470d0a1a0a0000000d49484452000000100000001008060000001ff3ff...>,16,16,0,2025-08-14 15:37:09 UTC,WebKit (Chrome),,null
106,53,13399659429579079,<BLOB 955 bytes: 89504e470d0a1a0a0000000d4948445200000020000000200806000000737a7a...>,32,32,0,2025-08-14 15:37:09 UTC,WebKit (Chrome),,null
107,54,13399670897907170,<BLOB 306 bytes: 89504e470d0a1a0a0000000d49484452000000100000001008060000001ff3ff...>,16,16,0,2025-08-14 18:48:17 UTC,WebKit (Chrome),,null
108,54,13399670897907481,<BLOB 381 bytes: 89504e470d0a1a0a0000000d4948445200000020000000200806000000737a7a...>,32,32,0,2025-08-14 18:48:17 UTC,WebKit (Chrome),,null
109,55,13402863900937810,<BLOB 642 bytes: 89504e470d0a1a0a0000000d49484452000000100000001008060000001ff3ff...>,16,16,0,2025-09-20 17:45:00 UTC,WebKit (Chrome),,null
110,55,13402863900937928,<BLOB 992 bytes: 89504e470d0a1a0a0000000d4948445200000020000000200806000000737a7a...>,32,32,0,2025-09-20 17:45:00 UTC,WebKit (Chrome),,null
111,56,13400389961951149,<BLOB 606 bytes: 89504e470d0a1a0a0000000d49484452000000100000001008060000001ff3ff...>,16,16,0,2025-08-23 02:32:41 UTC,WebKit (Chrome),,null
112,56,13400389961951225,<BLOB 888 bytes: 89504e470d0a1a0a0000000d4948445200000020000000200806000000737a7a...>,32,32,0,2025-08-23 02:32:41 UTC,WebKit (Chrome),,null
113,57,13399681167638700,<BLOB 901 bytes: 89504e470d0a1a0a0000000d49484452000000100000001008060000001ff3ff...>,16,16,0,2025-08-14 21:39:27 UTC,WebKit (Chrome),,null
114,57,13399681167638789,<BLOB 2209 bytes: 89504e470d0a1a0a0000000d4948445200000020000000200806000000737a7a...>,32,32,0,2025-08-14 21:39:27 UTC,WebKit (Chrome),,null
115,58,13399684382970691,<BLOB 823 bytes: 89504e470d0a1a0a0000000d49484452000000100000001008060000001ff3ff...>,16,16,0,2025-08-14 22:33:02 UTC,WebKit (Chrome),,null
116,58,13399684382970806,<BLOB 2238 bytes: 89504e470d0a1a0a0000000d4948445200000020000000200806000000737a7a...>,32,32,0,2025-08-14 22:33:02 UTC,WebKit (Chrome),,null
117,59,13399715707059225,<BLOB 764 bytes: 89504e470d0a1a0a0000000d49484452000000100000001008060000001ff3ff...>,16,16,0,2025-08-15 07:15:07 UTC,WebKit (Chrome),,null
118,59,13399715707059376,<BLOB 1349 bytes: 89504e470d0a1a0a0000000d4948445200000020000000200806000000737a7a...>,32,32,0,2025-08-15 07:15:07 UTC,WebKit (Chrome),,null
119,60,13399715796612228,<BLOB 802 bytes: 89504e470d0a1a0a0000000d49484452000000100000001008060000001ff3ff...>,16,16,0,2025-08-15 07:16:36 UTC,WebKit (Chrome),,null
120,60,13399715796612396,<BLOB 1853 bytes: 89504e470d0a1a0a0000000d4948445200000020000000200806000000737a7a...>,32,32,0,2025-08-15 07:16:36 UTC,WebKit (Chrome),,null
121,61,13403131610837968,<BLOB 332 bytes: 89504e470d0a1a0a0000000d49484452000000100000001008060000001ff3ff...>,16,16,0,2025-09-23 20:06:50 UTC,WebKit (Chrome),,null
122,61,13403131610838075,<BLOB 727 bytes: 89504e470d0a1a0a0000000d4948445200000020000000200806000000737a7a...>,32,32,0,2025-09-23 20:06:50 UTC,WebKit (Chrome),,null
123,62,13403391975109457,<BLOB 865 bytes: 89504e470d0a1a0a0000000d49484452000000100000001008060000001ff3ff...>,16,16,0,2025-09-26 20:26:15 UTC,WebKit (Chrome),,null
124,62,13403391975109563,<BLOB 2356 bytes: 89504e470d0a1a0a0000000d4948445200000020000000200806000000737a7a...>,32,32,0,2025-09-26 20:26:15 UTC,WebKit (Chrome),,null
125,63,13399721534580428,<BLOB 792 bytes: 89504e470d0a1a0a0000000d49484452000000100000001008060000001ff3ff...>,16,16,0,2025-08-15 08:52:14 UTC,WebKit (Chrome),,null
126,63,13399721534580568,<BLOB 1243 bytes: 89504e470d0a1a0a0000000d4948445200000020000000200806000000737a7a...>,32,32,0,2025-08-15 08:52:14 UTC,WebKit (Chrome),,null
127,64,13399721609660414,<BLOB 638 bytes: 89504e470d0a1a0a0000000d49484452000000100000001008060000001ff3ff...>,16,16,0,2025-08-15 08:53:29 UTC,WebKit (Chrome),,null
128,64,13399721609660479,<BLOB 1659 bytes: 89504e470d0a1a0a0000000d4948445200000020000000200806000000737a7a...>,32,32,0,2025-08-15 08:53:29 UTC,WebKit (Chrome),,null
