# BROWSER FORENSIC EXPORT
# Source DB,C:\Users\cryfo\OneDrive\Documents\Desktop\Browser\Affiliation Database
# DB Description,Credential Affiliations
# Table,psl_extensions
# Table Description,psl_extensions
# Total Rows in DB,607
# Export Timestamp,2026-04-02 09:55:54 UTC
# MD5 Hash of Source DB,98f842308ecd3f8294f4be9e56674791

domain,domain__DOMAIN,domain__CATEGORY
dotpe.in,dotpe.in,Other
dra.agconnect.link,dra.agconnect.link,Other
dre.agconnect.link,dre.agconnect.link,Other
drom.ru,drom.ru,Other
dudyfit.com,dudyfit.com,Other
dudyfit.es,dudyfit.es,Other
dukan.pk,dukan.pk,Other
dynamics.com,dynamics.com,Other
eab.com,eab.com,Other
eccocar.com,eccocar.com,Other
edcast.com,edcast.com,Other
edf.fr,edf.fr,Other
edu.tenda.digital,edu.tenda.digital,Other
edunext1.com,edunext1.com,Other
edunext2.com,edunext2.com,Other
edunext3.com,edunext3.com,Other
edunext5.com,edunext5.com,Other
edunexttech.com,edunexttech.com,Other
edunexttechnologies.com,edunexttechnologies.com,Other
edusquares.com,edusquares.com,Other
engageapps.work,engageapps.work,Other
enterprise.slack.com,enterprise.slack.com,Other
epizy.com,epizy.com,Other
eshopshub.com,eshopshub.com,Other
estore.business,estore.business,Other
eu.auth0.com,eu.auth0.com,Other
eu10.hana.ondemand.com,eu10.hana.ondemand.com,Other
eu2.hana.ondemand.com,eu2.hana.ondemand.com,Other
eu20.hana.ondemand.com,eu20.hana.ondemand.com,Other
evenium.net,evenium.net,Other
eventbase.com,eventbase.com,Other
eventify.io,eventify.io,Other
eventos.tokyo,eventos.tokyo,Other
everyonesocial.app,everyonesocial.app,Other
evouala.com,evouala.com,Other
expapp.com,expapp.com,Other
expoplatform.com,expoplatform.com,Other
extads.gameloft.com,extads.gameloft.com,Other
factory.alshaya.com,factory.alshaya.com,Other
falatozz.hu,falatozz.hu,Other
fan.direct,fan.direct,Other
farmania.app,farmania.app,Other
fcbusinessclub.nl,fcbusinessclub.nl,Other
filler.welder.nl,filler.welder.nl,Other
finbot.co.il,finbot.co.il,Other
findity.com,findity.com,Other
firebaseio.com,firebaseio.com,Other
firstresponsemh.com,firstresponsemh.com,Other
fisikal.com,fisikal.com,Other
fitbudd.app,fitbudd.app,Other
fitbudd.com,fitbudd.com,Other
fitnessanalyst.com,fitnessanalyst.com,Other
flarehealth.app,flarehealth.app,Other
foodtecsolutions.com,foodtecsolutions.com,Other
foroshgostar.com,foroshgostar.com,Other
foxdox.de,foxdox.de,Other
freeforums.net,freeforums.net,Other
freshdesk.com,freshdesk.com,Other
fudr.in,fudr.in,Other
fuelcyclecore.com,fuelcyclecore.com,Other
fuseuniversal.com,fuseuniversal.com,Other
fusion-universal.com,fusion-universal.com,Other
gameaccount.com,gameaccount.com,Other
gameloft.com,gameloft.com,Other
getgalore.com,getgalore.com,Other
getmeashop.com,getmeashop.com,Other
gfoundry.com,gfoundry.com,Other
givingclicksapps.com,givingclicksapps.com,Other
glideapp.io,glideapp.io,Other
godaddysites.com,godaddysites.com,Other
goodbarber.app,goodbarber.app,Other
gosuslugi.ru,gosuslugi.ru,Other
gotandem.com,gotandem.com,Other
gov-dooray.com,gov-dooray.com,Other
groupfire.com,groupfire.com,Other
grower360.net,grower360.net,Other
growthzoneapp.com,growthzoneapp.com,Other
gsc.im,gsc.im,Other
guide.eab.com,guide.eab.com,Other
gungunerp.in,gungunerp.in,Other
gymmasteronline.com,gymmasteronline.com,Other
hana.ondemand.com,hana.ondemand.com,Other
handball.app,handball.app,Other
happeo.com,happeo.com,Other
happydonia.com,happydonia.com,Other
hd.pics,hd.pics,Other
helpinapps.com,helpinapps.com,Other
highspot.com,highspot.com,Other
hirevue.com,hirevue.com,Other
hk01.com,hk01.com,Other
hmshb.no,hmshb.no,Other
honeycommb.com,honeycommb.com,Other
hotel-mssngr.com,hotel-mssngr.com,Other
houzz.co.nz,houzz.co.nz,Other
houzz.co.uk,houzz.co.uk,Other
houzz.com,houzz.com,Other
houzz.com.au,houzz.com.au,Other
houzz.com.sg,houzz.com.sg,Other
houzz.de,houzz.de,Other
houzz.dk,houzz.dk,Other
houzz.es,houzz.es,Other
houzz.fr,houzz.fr,Other
houzz.ie,houzz.ie,Other
houzz.in,houzz.in,Other
houzz.it,houzz.it,Other
houzz.jp,houzz.jp,Other
houzz.ru,houzz.ru,Other
houzz.se,houzz.se,Other
hsidx.com,hsidx.com,Other
hubbux.com,hubbux.com,Other
hubengage.com,hubengage.com,Other
hungerrush.com,hungerrush.com,Other
icoopsiam.com,icoopsiam.com,Other
idez.com.br,idez.com.br,Other
ignite.inmotionnow.com,ignite.inmotionnow.com,Other
ihues.com,ihues.com,Other
imgzine.com,imgzine.com,Other
imweb.me,imweb.me,Other
incisivemedia.com,incisivemedia.com,Other
ingaged.me,ingaged.me,Other
inkling.com,inkling.com,Other
inmotionnow.com,inmotionnow.com,Other
inspect4all.com,inspect4all.com,Other
instructure.com,instructure.com,Other
interpretmanager.com,interpretmanager.com,Other
